Date_Key,Date,Year,Month,Month_Num,Day
20180101,1/1/2018,2018,Jan,1,1
20180102,1/2/2018,2018,Jan,1,2
20180103,1/3/2018,2018,Jan,1,3
20180104,1/4/2018,2018,Jan,1,4
20180105,1/5/2018,2018,Jan,1,5
20180106,1/6/2018,2018,Jan,1,6
20180107,1/7/2018,2018,Jan,1,7
20180108,1/8/2018,2018,Jan,1,8
20180109,1/9/2018,2018,Jan,1,9
20180110,1/10/2018,2018,Jan,1,10
20180111,1/11/2018,2018,Jan,1,11
20180112,1/12/2018,2018,Jan,1,12
20180113,1/13/2018,2018,Jan,1,13
20180114,1/14/2018,2018,Jan,1,14
20180115,1/15/2018,2018,Jan,1,15
20180116,1/16/2018,2018,Jan,1,16
20180117,1/17/2018,2018,Jan,1,17
20180118,1/18/2018,2018,Jan,1,18
20180119,1/19/2018,2018,Jan,1,19
20180120,1/20/2018,2018,Jan,1,20
20180121,1/21/2018,2018,Jan,1,21
20180122,1/22/2018,2018,Jan,1,22
20180123,1/23/2018,2018,Jan,1,23
20180124,1/24/2018,2018,Jan,1,24
20180125,1/25/2018,2018,Jan,1,25
20180126,1/26/2018,2018,Jan,1,26
20180127,1/27/2018,2018,Jan,1,27
20180128,1/28/2018,2018,Jan,1,28
20180129,1/29/2018,2018,Jan,1,29
20180130,1/30/2018,2018,Jan,1,30
20180131,1/31/2018,2018,Jan,1,31
20180201,2/1/2018,2018,Feb,2,1
20180202,2/2/2018,2018,Feb,2,2
20180203,2/3/2018,2018,Feb,2,3
20180204,2/4/2018,2018,Feb,2,4
20180205,2/5/2018,2018,Feb,2,5
20180206,2/6/2018,2018,Feb,2,6
20180207,2/7/2018,2018,Feb,2,7
20180208,2/8/2018,2018,Feb,2,8
20180209,2/9/2018,2018,Feb,2,9
20180210,2/10/2018,2018,Feb,2,10
20180211,2/11/2018,2018,Feb,2,11
20180212,2/12/2018,2018,Feb,2,12
20180213,2/13/2018,2018,Feb,2,13
20180214,2/14/2018,2018,Feb,2,14
20180215,2/15/2018,2018,Feb,2,15
20180216,2/16/2018,2018,Feb,2,16
20180217,2/17/2018,2018,Feb,2,17
20180218,2/18/2018,2018,Feb,2,18
20180219,2/19/2018,2018,Feb,2,19
20180220,2/20/2018,2018,Feb,2,20
20180221,2/21/2018,2018,Feb,2,21
20180222,2/22/2018,2018,Feb,2,22
20180223,2/23/2018,2018,Feb,2,23
20180224,2/24/2018,2018,Feb,2,24
20180225,2/25/2018,2018,Feb,2,25
20180226,2/26/2018,2018,Feb,2,26
20180227,2/27/2018,2018,Feb,2,27
20180228,2/28/2018,2018,Feb,2,28
20180301,3/1/2018,2018,Mar,3,1
20180302,3/2/2018,2018,Mar,3,2
20180303,3/3/2018,2018,Mar,3,3
20180304,3/4/2018,2018,Mar,3,4
20180305,3/5/2018,2018,Mar,3,5
20180306,3/6/2018,2018,Mar,3,6
20180307,3/7/2018,2018,Mar,3,7
20180308,3/8/2018,2018,Mar,3,8
20180309,3/9/2018,2018,Mar,3,9
20180310,3/10/2018,2018,Mar,3,10
20180311,3/11/2018,2018,Mar,3,11
20180312,3/12/2018,2018,Mar,3,12
20180313,3/13/2018,2018,Mar,3,13
20180314,3/14/2018,2018,Mar,3,14
20180315,3/15/2018,2018,Mar,3,15
20180316,3/16/2018,2018,Mar,3,16
20180317,3/17/2018,2018,Mar,3,17
20180318,3/18/2018,2018,Mar,3,18
20180319,3/19/2018,2018,Mar,3,19
20180320,3/20/2018,2018,Mar,3,20
20180321,3/21/2018,2018,Mar,3,21
20180322,3/22/2018,2018,Mar,3,22
20180323,3/23/2018,2018,Mar,3,23
20180324,3/24/2018,2018,Mar,3,24
20180325,3/25/2018,2018,Mar,3,25
20180326,3/26/2018,2018,Mar,3,26
20180327,3/27/2018,2018,Mar,3,27
20180328,3/28/2018,2018,Mar,3,28
20180329,3/29/2018,2018,Mar,3,29
20180330,3/30/2018,2018,Mar,3,30
20180331,3/31/2018,2018,Mar,3,31
20180401,4/1/2018,2018,Apr,4,1
20180402,4/2/2018,2018,Apr,4,2
20180403,4/3/2018,2018,Apr,4,3
20180404,4/4/2018,2018,Apr,4,4
