Order ID,Customer ID,Product ID,Date_Key,Date,Shipping Time,Shipping Mode,Quantity,Revenue,Discount ,Profit
OD0001,C351,P0001,20180101,1/1/2018,6,Standard,1,244,30.00%,244
OD0002,C771,P0001,20180102,1/2/2018,3,Standard,1,245,30.00%,245
OD0003,C641,P0001,20180103,1/3/2018,7,Standard,3,245,30.00%,245
OD0004,C905,P0001,20180104,1/4/2018,4,Standard,2,264,25.00%,264
OD0005,C904,P0001,20180105,1/5/2018,6,Standard,2,264,25.00%,264
OD0006,C808,P0002,20180106,1/6/2018,9,Standard,2,247,30.00%,247
OD0007,C872,P0003,20180107,1/7/2018,2,Standard,1,248,30.00%,248
OD0008,C288,P0004,20180108,1/8/2018,6,Standard,1,249,30.00%,249
OD0009,C255,P0005,20180109,1/9/2018,7,Standard,4,1333,40.00%,1333
OD0010,C533,P0006,20180110,1/10/2018,4,Standard,1,1405,40.00%,1405
OD0011,C361,P0007,20180111,1/11/2018,3,Standard,1,1344,40.00%,1344
OD0012,C864,P0007,20180112,1/12/2018,7,Standard,1,1351,40.00%,1351
OD0013,C411,P0007,20180113,1/13/2018,7,Standard,2,1347,40.00%,1347
OD0014,C758,P0008,20180114,1/14/2018,2,Standard,2,1338,40.00%,1338
OD0015,C66,P0009,20180115,1/15/2018,5,Standard,1,1348,45.00%,1348
OD0016,C848,P0010,20180116,1/16/2018,4,Standard,2,1229,45.00%,1229
OD0017,C729,P0011,20180117,1/17/2018,1,Prime,4,1234,45.00%,1234
OD0018,C952,P0012,20180118,1/18/2018,7,Standard,2,1184,47.00%,1184
OD0019,C395,P0012,20180119,1/19/2018,5,Standard,4,2214,47.00%,1173
OD0020,C247,P0012,20180120,1/20/2018,1,Prime,3,2231,46.00%,1204
OD0021,C518,P0013,20180121,1/21/2018,4,Standard,1,2145,46.00%,1158
OD0022,C76,P0014,20180122,1/22/2018,0,Same Day,2,2356,46.00%,1272
OD0023,C896,P0015,20180123,1/23/2018,9,Standard,4,2412,30.00%,1688
OD0024,C937,P0016,20180124,1/24/2018,5,Standard,3,2234,30.00%,1563
OD0025,C950,P0017,20180125,1/25/2018,8,Standard,3,2214,30.00%,1549
OD0026,C88,P0018,20180126,1/26/2018,0,Same Day,2,999,30.00%,699
OD0027,C822,P0019,20180127,1/27/2018,9,Standard,2,1119,30.00%,783
OD0028,C157,P0020,20180128,1/28/2018,2,Standard,3,1119,35.00%,727
OD0029,C462,P0021,20180129,1/29/2018,6,Standard,1,1119,35.00%,727
OD0030,C511,P0022,20180130,1/30/2018,3,Standard,1,1119,35.00%,727
OD0031,C946,P0023,20180131,1/31/2018,8,Standard,4,985,35.00%,640
OD0032,C781,P0024,20180201,2/1/2018,2,Standard,1,985,35.00%,640
OD0033,C453,P0024,20180202,2/2/2018,4,Standard,3,985,35.00%,640
OD0034,C461,P0024,20180203,2/3/2018,2,Standard,3,985,40.00%,591
OD0035,C843,P0025,20180204,2/4/2018,6,Standard,3,985,40.00%,591
OD0036,C209,P0026,20180205,2/5/2018,4,Standard,1,369,15.00%,313
OD0037,C231,P0027,20180206,2/6/2018,8,Standard,4,399,15.00%,339
OD0038,C702,P0028,20180207,2/7/2018,6,Standard,1,399,15.00%,339
OD0039,C97,P0029,20180208,2/8/2018,1,Prime,4,399,35.00%,259
OD0040,C673,P0030,20180209,2/9/2018,3,Standard,1,399,35.00%,259
OD0041,C428,P0031,20180210,2/10/2018,8,Standard,3,555,35.00%,360
OD0042,C955,P0032,20180211,2/11/2018,1,Prime,3,555,35.00%,360
OD0043,C405,P0033,20180212,2/12/2018,9,Standard,2,555,55.00%,249
OD0044,C906,P0034,20180213,2/13/2018,8,Standard,1,555,55.00%,249
OD0045,C830,P0035,20180214,2/14/2018,9,Standard,1,675,55.00%,303
OD0046,C187,P0036,20180215,2/15/2018,4,Standard,2,675,55.00%,303
OD0047,C861,P0037,20180216,2/16/2018,1,Prime,3,675,50.00%,337
OD0048,C286,P0038,20180217,2/17/2018,3,Standard,1,654,50.00%,327
OD0049,C435,P0038,20180218,2/18/2018,6,Standard,2,654,50.00%,327
OD0050,C636,P0038,20180219,2/19/2018,7,Standard,1,654,50.00%,327
OD0051,C85,P0039,20180220,2/20/2018,2,Standard,4,654,50.00%,327
OD0052,C105,P0040,20180221,2/21/2018,0,Same Day,3,356,30.00%,249
OD0053,C413,P0041,20180222,2/22/2018,3,Standard,4,2235,32.00%,1519
OD0054,C940,P0042,20180223,2/23/2018,1,Prime,3,1125,25.00%,843
OD0055,C958,P0043,20180224,2/24/2018,7,Standard,2,2451,45.00%,1348
OD0056,C825,P0044,20180225,2/25/2018,3,Standard,3,2263,15.00%,1923
OD0057,C830,P0045,20180226,2/26/2018,1,Prime,3,1365,33.00%,914
OD0058,C784,P0046,20180227,2/27/2018,5,Standard,2,2453,42.00%,1422
OD0059,C32,P0047,20180228,2/28/2018,5,Standard,3,1555,42.00%,901
OD0060,C776,P0048,20180301,3/1/2018,9,Standard,1,1234,39.00%,752
OD0061,C991,P0049,20180302,3/2/2018,3,Standard,2,2344,39.00%,1429
OD0062,C820,P0050,20180303,3/3/2018,5,Standard,2,2142,39.00%,1306
OD0063,C891,P0051,20180304,3/4/2018,1,Prime,2,2612,39.00%,1593
OD0064,C722,P0051,20180305,3/5/2018,9,Standard,4,2243,30.00%,1570
OD0065,C49,P0051,20180306,3/6/2018,1,Prime,4,333,30.00%,233
OD0066,C47,P0052,20180307,3/7/2018,9,Standard,3,236,30.00%,165
OD0067,C233,P0053,20180308,3/8/2018,3,Standard,2,456,25.00%,342
OD0068,C571,P0054,20180309,3/9/2018,7,Standard,3,963,25.00%,722
OD0069,C154,P0055,20180310,3/10/2018,6,Standard,1,234,30.00%,163
OD0070,C87,P0056,20180311,3/11/2018,8,Standard,2,456,30.00%,319
OD0071,C75,P0057,20180312,3/12/2018,7,Standard,1,564,30.00%,394
OD0072,C536,P0058,20180313,3/13/2018,4,Standard,3,634,40.00%,380
OD0073,C448,P0059,20180314,3/14/2018,1,Prime,4,236,40.00%,141
OD0074,C70,P0060,20180315,3/15/2018,4,Standard,3,444,40.00%,266
OD0075,C846,P0060,20180316,3/16/2018,7,Standard,1,456,40.00%,273
OD0076,C152,P0060,20180317,3/17/2018,9,Standard,2,963,40.00%,577
OD0077,C204,P0060,20180318,3/18/2018,8,Standard,3,456,40.00%,273
OD0078,C544,P0061,20180319,3/19/2018,8,Standard,2,1189,45.00%,653
OD0079,C553,P0062,20180320,3/20/2018,0,Same Day,4,1298,45.00%,713
OD0080,C346,P0063,20180321,3/21/2018,8,Standard,4,1456,45.00%,800
OD0081,C633,P0064,20180322,3/22/2018,6,Standard,4,1478,47.00%,783
OD0082,C861,P0065,20180323,3/23/2018,8,Standard,2,256,47.00%,135
OD0083,C841,P0066,20180324,3/24/2018,7,Standard,3,2698,46.00%,1456
OD0084,C30,P0067,20180325,3/25/2018,0,Same Day,2,2364,46.00%,1276
OD0085,C293,P0068,20180326,3/26/2018,7,Standard,2,1236,46.00%,667
OD0086,C552,P0069,20180327,3/27/2018,7,Standard,3,756,30.00%,529
OD0087,C152,P0070,20180328,3/28/2018,2,Standard,4,326,30.00%,228
OD0088,C859,P0071,20180329,3/29/2018,0,Same Day,4,453,30.00%,317
